timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-07-10T00:00:00.000Z";"2023-07-10T23:59:59.999Z";"2023-07-10T20:07:00.000Z";"2023-07-10T00:19:00.000Z";265.5678322226;286.0441420726;261.5691553163;274.5855244628;756800670.15;5339361859.49;"2023-07-10T23:59:59.999Z"
"2023-07-09T00:00:00.000Z";"2023-07-09T23:59:59.999Z";"2023-07-09T00:46:00.000Z";"2023-07-09T22:26:00.000Z";271.9263408495;277.9119802484;263.996209198;265.5489811045;400133279.01;5163385838.72;"2023-07-09T23:59:59.999Z"
"2023-07-08T00:00:00.000Z";"2023-07-08T23:59:59.999Z";"2023-07-08T01:34:00.000Z";"2023-07-08T18:11:00.000Z";278.3890898902;282.1136822553;262.9441658242;271.9185016972;470898804.95;5286991304.56;"2023-07-08T23:59:59.999Z"
"2023-07-07T00:00:00.000Z";"2023-07-07T23:59:59.999Z";"2023-07-07T14:04:00.000Z";"2023-07-07T00:04:00.000Z";277.3536529875;287.8769179087;274.8888446657;278.4218261493;737064204.94;5413212874.64;"2023-07-07T23:59:59.999Z"
"2023-07-06T00:00:00.000Z";"2023-07-06T23:59:59.999Z";"2023-07-06T09:20:00.000Z";"2023-07-06T00:35:00.000Z";271.8865774104;300.8527006671;268.823269451;277.298747698;1458427854.31;5391153863.77;"2023-07-06T23:59:59.999Z"
"2023-07-05T00:00:00.000Z";"2023-07-05T23:59:59.999Z";"2023-07-05T02:50:00.000Z";"2023-07-05T15:34:00.000Z";272.4911501966;277.7300235087;250.2268964253;271.9447114496;968548029.44;5286737763.63;"2023-07-05T23:59:59.999Z"
"2023-07-04T00:00:00.000Z";"2023-07-04T23:59:59.999Z";"2023-07-04T00:02:00.000Z";"2023-07-04T23:56:00.000Z";289.1444488268;291.1716182073;272.1070355844;272.4275846747;576532823.16;5295910517.81;"2023-07-04T23:59:59.999Z"
"2023-07-03T00:00:00.000Z";"2023-07-03T23:59:59.999Z";"2023-07-03T02:31:00.000Z";"2023-07-03T21:53:00.000Z";298.8041614004;300.9984276105;281.6044013624;288.7218389343;779631399.33;5612418714.26;"2023-07-03T23:59:59.999Z"
"2023-07-02T00:00:00.000Z";"2023-07-02T23:59:59.999Z";"2023-07-02T10:28:00.000Z";"2023-07-02T04:43:00.000Z";290.8076483724;304.4624259874;270.1523667033;298.8141191844;1444350171.91;5808380597.71;"2023-07-02T23:59:59.999Z"
"2023-07-01T00:00:00.000Z";"2023-07-01T23:59:59.999Z";"2023-07-01T00:31:00.000Z";"2023-07-01T04:32:00.000Z";305.0053120516;307.9686185693;283.6842942284;290.7802668309;1228271488.29;5651941480.81;"2023-07-01T23:59:59.999Z"
